,Gender,EthnicGroup,ParentEduc,LunchType,Numberof Siblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,1,group B,master's degree,standard,4,school_bus,< 5,87,93,91
1,0,group C,some college,standard,0,school_bus,5 - 10,76,78,75
2,1,group B,associate's degree,standard,1,school_bus,5 - 10,73,84,79
3,1,group B,some college,standard,1,private,5 - 10,85,93,89
4,0,group B,some college,free/reduced,1,private,> 10,41,43,39
5,0,group D,high school,free/reduced,3,private,> 10,65,64,68
6,0,group C,associate's degree,standard,1,private,5 - 10,58,54,52
7,0,group D,associate's degree,standard,1,school_bus,5 - 10,40,52,43
8,1,group B,high school,standard,1,private,5 - 10,66,82,74
9,0,group A,some college,standard,1,private,> 10,80,73,71
10,1,group A,master's degree,standard,2,private,< 5,48,53,58
11,0,group C,high school,standard,0,school_bus,5 - 10,88,89,86
12,1,group B,some high school,free/reduced,1,school_bus,5 - 10,18,32,28
13,0,group C,master's degree,free/reduced,1,private,5 - 10,46,42,47
14,1,group C,associate's degree,free/reduced,3,private,< 5,50,56,58
15,0,group D,high school,standard,5,school_bus,5 - 10,66,69,63
16,1,group B,some college,free/reduced,2,school_bus,5 - 10,65,75,70
17,0,group A,master's degree,free/reduced,1,school_bus,5 - 10,75,76,76
18,0,group B,some college,standard,5,school_bus,< 5,66,53,53
19,1,group C,bachelor's degree,standard,4,school_bus,> 10,69,70,76
20,0,group C,high school,standard,1,private,5 - 10,70,70,65
21,1,group D,some college,standard,0,private,< 5,66,72,72
22,1,group E,master's degree,free/reduced,1,school_bus,5 - 10,56,73,66
23,1,group D,associate's degree,standard,2,private,5 - 10,76,82,85
24,1,group D,some high school,free/reduced,1,private,5 - 10,51,64,60
25,1,group D,associate's degree,free/reduced,1,school_bus,5 - 10,77,91,90
26,0,group B,associate's degree,free/reduced,5,school_bus,5 - 10,58,56,58
27,0,group C,associate's degree,free/reduced,0,school_bus,5 - 10,53,60,52
28,0,group B,some college,free/reduced,3,school_bus,5 - 10,60,65,67
29,1,group E,associate's degree,free/reduced,5,school_bus,< 5,48,55,52
30,0,group B,associate's degree,standard,3,school_bus,< 5,63,53,55
31,0,group E,some college,standard,3,school_bus,> 10,54,55,48
32,0,group C,some college,standard,3,school_bus,> 10,56,45,43
33,0,group D,high school,standard,2,school_bus,5 - 10,88,78,75
34,1,group C,high school,free/reduced,2,private,5 - 10,33,41,43
35,1,group E,associate's degree,standard,3,school_bus,> 10,84,86,87
36,0,group D,associate's degree,standard,2,private,5 - 10,52,55,49
